component,max,mean,p50,p75,p90,p95,policy,resolved_risk_family,row_count
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
final_score,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,severity_aware_non_additive_v2,dry_vent,25
base_final_score,0.05108333255102249,0.016590277457402863,0.0003749997317792353,0.049208332551022416,0.049208332551022416,0.049489582551022426,family_target_rate_balanced_v1,canopy_dew_lt0,18
raw_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,family_target_rate_balanced_v1,canopy_dew_lt0,18
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt0,18
raw_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,canopy_dew_lt0,18
projected_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,family_target_rate_balanced_v1,canopy_dew_lt0,18
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt0,18
projected_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,canopy_dew_lt0,18
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,family_target_rate_balanced_v1,canopy_dew_lt0,18
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt0,18
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt0,18
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt0,18
final_score,0.10708333255102254,0.07259027745740292,0.056374999731779285,0.10520833255102247,0.10520833255102247,0.10548958255102248,family_target_rate_balanced_v1,canopy_dew_lt0,18
base_final_score,0.05108333255102249,0.039213094681350175,0.04733333277661611,0.049208332551022416,0.05108333255102249,0.05108333255102249,family_target_rate_balanced_v1,canopy_dew_lt1,35
raw_smoothness,0.011666666666666714,0.0038809528864674116,0.0041666671137015054,0.005833333556850784,0.008333333780368268,0.011666666666666714,family_target_rate_balanced_v1,canopy_dew_lt1,35
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt1,35
raw_energy_proxy,0.23666666174928352,0.18733332941219924,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,canopy_dew_lt1,35
projected_smoothness,0.011666666666666714,0.0038809528864674116,0.0041666671137015054,0.005833333556850784,0.008333333780368268,0.011666666666666714,family_target_rate_balanced_v1,canopy_dew_lt1,35
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt1,35
projected_energy_proxy,0.23666666174928352,0.18733332941219924,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,canopy_dew_lt1,35
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,family_target_rate_balanced_v1,canopy_dew_lt1,35
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt1,35
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt1,35
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,canopy_dew_lt1,35
final_score,0.10708333255102254,0.09521309468135022,0.10333333277661616,0.10520833255102247,0.10708333255102254,0.10708333255102254,family_target_rate_balanced_v1,canopy_dew_lt1,35
base_final_score,0.05445833210398765,0.03603545518686557,0.04245833349187189,0.04508333322365099,0.048045832709353274,0.05445833210398765,family_target_rate_balanced_v1,dew_or_humidity,40
raw_smoothness,0.04416666666666669,-0.000884171940216702,-0.004999998058234922,0.011666666666666714,0.01583333278695742,0.016088479161262496,family_target_rate_balanced_v1,dew_or_humidity,40
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dew_or_humidity,40
raw_energy_proxy,0.23666666174928352,0.18216666279981536,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,dew_or_humidity,40
projected_smoothness,0.04416666666666669,-0.000884171940216702,-0.004999998058234922,0.011666666666666714,0.01583333278695742,0.016088479161262496,family_target_rate_balanced_v1,dew_or_humidity,40
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dew_or_humidity,40
projected_energy_proxy,0.23666666174928352,0.18216666279981536,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,family_target_rate_balanced_v1,dew_or_humidity,40
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,family_target_rate_balanced_v1,dew_or_humidity,40
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dew_or_humidity,40
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dew_or_humidity,40
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dew_or_humidity,40
final_score,0.1104583321039877,0.09203545518686562,0.09845833349187194,0.10108333322365104,0.10404583270935332,0.1104583321039877,family_target_rate_balanced_v1,dew_or_humidity,40
base_final_score,0.007875000100582952,0.003937500100582969,0.002625000100582975,0.003937500100582969,0.007875000100582952,0.007875000100582952,family_target_rate_balanced_v1,dry_or_high_vpd,8
raw_smoothness,0.017500000223517387,0.008750000223517435,0.005833333556850784,0.008750000223517435,0.017500000223517387,0.017500000223517387,family_target_rate_balanced_v1,dry_or_high_vpd,8
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
raw_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
